No.	単語	品詞	意味	用例	追加
372	everyone	代	みんな、すべての人	Good night, everyone.	
373	everything	代	すべてのこと（もの）	Thank you for everything.	
374	everywhere	副	いたるところで（を）、どこにも、どこへも	everywhere in Japan	
375	exact	形	正確な、的確な、ぴったりの	the exact answer	
376	exam	名	試験	passed the exam	
377	example	名	例	for example	
378	excellent	形	非常に優れた、優秀な	an excellent idea	
379	exchange	動	・・・を交換する、両替する	exchange ideas	
380	excited	形	興奮した	I was very excited.	
381	exciting	形	興奮させるような、わくわくさせるような	an exciting game	
382	excuse	動	・・・を許す	Excuse me, but…	
383	expensive	形	高価な、値段が高い、費用のかかる、ぜいたくな	buy an expensive camera	
384	experience	名	経験	have a good experience	
385	explain	動	・・・を説明する	explain the meaning of the word	
386	express	動	・・・を表現する・表す、示す、述べる	express an idea	
387	expression	名	表現、表情	a good expression	
388	eye	名	目	Close your eyes.	
389	face	名	顔、面	Look at his face.	
390	fact	名	事実	know the real fact about …	
391	factory	名	工場	a car factory	
392	fall	名	秋	in the fall	
393	fall	動	落ちる　《活用》fell-fallen	fall down	
394	family	名	家族	in my family	
395	famous	形	有名な	a famous actor	
396	fan	名	ファン、熱烈な支持者	a basketball fan	
397	far	形・副	遠い、遠くに　《活用》farther/further-farthest/furthest	go far	
398	farm	名	農場	a small farm	
399	farmer	名	農民、農業従事者	a fruit farmer	
400	fast	形	速い	a fast runner	
401	fast	副	速く	run fast	
402	father	名	父、父親	my father	
403	favorite	形	お気に入りの、大好きな	my favorite subject	
404	February	名	２月	in February	
405	feel	動	・・・と感じる　《活用》felt-felt	feel sick	
406	feeling	名	感情、感覚	a good feeling	
407	festival	名	祭り	have a music festival	
408	few	形	（a fewで）少しの、いくつかの	a few days later	
409	field	名	原っぱ、（競技場の）フィールド	a rice field	
410	fifteen	名・形	１５（の）	She is fifteen years old.	
411	fifteenth	名・形	１５番め（の）	on October 15(fifteenth)	
412	fifth	名・形	５番め（の）	on September 5(fifth)	
413	fifty	名・形	５０（の）	fifty minutes later	
414	fight	動	戦う　《活用》fought-fought	fight with(against)…	
415	fill	動	・・・を満たす、埋める	fill the cup with water	
416	final	形	最後の	the final day of a year	
417	finally	副	とうとう、ついに	finally arrived at the station 	
418	find	動	・・・を見つける、気づく、わかる　《活用》found-found	find a good book	
419	fine	形	元気な、晴れた	I'm fine.	
420	finger	名	指（手の親指はthumb、足の指はtoe）	point a finger at the picture	
421	finish	動	終わる、・・・を終える	The concert finished. / finish my homework	
422	fire	名	火、火事	use fire	
423	first	名・形	１番め（の）、最初（の）	for the first time	
424	first	副	まず第一に、最初に、初めて	We have to do the job first.	
425	fish	名	さかな　《複数》fish	catch five fish	
426	fish	動	つりをする	go fishing	
427	five	名・形	５（の）	for five minutes	
428	flight	名	飛行、（飛行機の）便、フライト	take a flight to London	
429	floor	名	ゆか、階	on the third floor	
430	florist	名	花屋	He is a florist.	
431	flower	名	花	grow flowers in the garden	
432	fluently	副	りゅうちょうに	speak English fluently	
433	fly	動	飛ぶ　《活用》flew-flown	fly from London to New York	
434	follow	動	…のあとについて行く、従う	follow him	
435	following	形	次の、あとに続く	Answer the following questions.	
436	food	名	食べ物	delicious food	
437	foot	名	足（足首から下）　《複数》feet	on foot （歩いて）	
438	football	名	サッカー（soccer）、アメリカンフットボール	play football	
439	for	前	①・・・のために ②・・・に向かって ③・・・にとって④～の間	①for you ②a train for Umeda ③good for your health ④for two days	
440	foreign	形	外国の	a foreign language	
441	forest	名	森	in the forest	
442	forever	副	永遠に	remember her forever	
443	forget	動	・・・を忘れる、置き忘れる　《活用》forgot-forgotten	forget my umbrella	
444	forty	名・形	４０（の）	forty years ago	
445	forward	副	前方へ　	move the car forward	
446	four	名・形	４（の）	four years ago	
447	fourteen	名・形	１４（の）	My brother is fourteen years old.	
448	fourteenth	名・形	１４番め（の）	in the fourteenth century	
449	fourth	名・形	４番め（の）	on the fourth floor	
450	France	名	フランス	a trip to France	
451	free	形	自由な、ひまな、ただの	I'll be free tomorrow.	
452	freedom	名	自由	fight for freedom	
453	French	名・形	フランス人（の）、フランス語(の）、フランスの	speak French	
454	fresh	形	新鮮な	fresh vegetables	
455	Friday	名	金曜日	on Friday	
456	friend	名	友だち	make friends with her	
457	friendly	形	人なつっこい、親切な	She is friendly to me.	
458	friendship	名	友情、親交	an old friendship	
459	from	前	…から、…出身の	He traveled from Japan to China. / I'm from Osaka.	
460	front	名	前部、前面、前方	the front of a car / in front of ～	
461	fruit	名	くだもの	fresh fruit	
462	full	形	いっぱいの、満ちた	The restaurant is full.	
463	fun	名	楽しみ、おもしろいもの	have a lot of fun	
464	funny	形	おかしな、おもしろい	a funny story	
465	future	名	将来、未来	in the future	
466	game	名	試合、ゲーム	watch a baseball game	
467	garden	名	庭、庭園	flowers in the garden	
468	gate	名	門、通用門、扉	open the gate	
469	gather	動	・・・を集める、（人々・物が）集まる	gather a lot of information	
470	gentleman	名	紳士　《複数》gentlemen	ladies and gentlemen	
471	German	名・形	ドイツ人（の）、ドイツ語（の）、ドイツの	speak German	
472	Germany	名	ドイツ	go to Germany	
473	gesture	名	（指示や感情を示す）身ぶり	language and gesture	
474	get	動	①・・・を得る　②（・・・の状態に）なる　③・・・に着く　《活用》got-got/gotten	①get a CD 　② get sick 　③get to the station 	
475	gift	名	贈り物	a gift from my friend	
476	girl	名	少女	a Japanese girl	
477	give	動	（～に）・・・を与える　《活用》gave-given	give him a present	
478	glad	形	うれしい、（・・・して）うれしい（to・・・、that・・・）　	I'm glad to see you. / I'm glad that you like it.	○
479	global	形	世界的な、地球全体の	global warming	
